data,rodada,publico,publico_max,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,gols_mandante,gols_visitante,time_visitante_América-MG,time_visitante_Athletico-PR,time_visitante_Atlético-GO,time_visitante_Atlético-MG,time_visitante_Atlético-PR,time_visitante_Avaí FC,time_visitante_Barueri,time_visitante_Botafogo,time_visitante_Ceará SC,time_visitante_Chapecoense,time_visitante_Corinthians,time_visitante_Coritiba FC,time_visitante_Cruzeiro,time_visitante_Cuiabá-MT,time_visitante_EC Bahia,time_visitante_EC Vitória,time_visitante_Figueirense FC,time_visitante_Flamengo,time_visitante_Fluminense,time_visitante_Fortaleza,time_visitante_Goiás,time_visitante_Goiás EC,time_visitante_Grêmio,time_visitante_Guarani,time_visitante_Internacional,time_visitante_Joinville-SC,time_visitante_Juventude,time_visitante_Náutico,time_visitante_Paraná,time_visitante_Ponte Preta,time_visitante_Portuguesa,time_visitante_RB Bragantino,time_visitante_Santa Cruz,time_visitante_Santos,time_visitante_Santos FC,time_visitante_Sport Recife,time_visitante_São Paulo,time_visitante_Vasco da Gama
15536,9,8374,43600,18,6,14200000,41250000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15547,12,7515,43600,14,19,11200000,6150000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15556,14,8387,43600,18,5,11250000,13500000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15584,21,11586,43600,17,3,16350000,14200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15589,22,29409,43600,18,17,16200000,3450000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15599,25,24692,43600,19,9,16200000,24300000,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15624,29,10655,43600,18,16,12050000,3700000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15633,32,9873,43600,18,9,13650000,10150000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15655,35,8461,43600,18,1,15150000,32250000,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15479,1,8939,43600,8,10,16600000,5650000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
